sample-id,absolute-filepath,direction
Sample01,/notebooks/data/Sample1/Sample1_S217_L001_R1_001.fastq.gz,forward
Sample01,/notebooks/data/Sample1/Sample1_S217_L001_R2_001.fastq.gz,reverse
Sample02,/notebooks/data/Sample2/Sample2_S218_L001_R1_001.fastq.gz,forward
Sample02,/notebooks/data/Sample2/Sample2_S218_L001_R2_001.fastq.gz,reverse
Sample03,/notebooks/data/Sample3/Sample3_S219_L001_R1_001.fastq.gz,forward
Sample03,/notebooks/data/Sample3/Sample3_S219_L001_R2_001.fastq.gz,reverse
Sample04,/notebooks/data/Sample4/Sample4_S220_L001_R1_001.fastq.gz,forward
Sample04,/notebooks/data/Sample4/Sample4_S220_L001_R2_001.fastq.gz,reverse
Sample05,/notebooks/data/Sample5/Sample5_S221_L001_R1_001.fastq.gz,forward
Sample05,/notebooks/data/Sample5/Sample5_S221_L001_R2_001.fastq.gz,reverse
Sample06,/notebooks/data/Sample6/Sample6_S222_L001_R1_001.fastq.gz,forward
Sample06,/notebooks/data/Sample6/Sample6_S222_L001_R2_001.fastq.gz,reverse
Sample07,/notebooks/data/Sample7/Sample7_S223_L001_R1_001.fastq.gz,forward
Sample07,/notebooks/data/Sample7/Sample7_S223_L001_R2_001.fastq.gz,reverse
Sample08,/notebooks/data/Sample8/Sample8_S224_L001_R1_001.fastq.gz,forward
Sample08,/notebooks/data/Sample8/Sample8_S224_L001_R2_001.fastq.gz,reverse
Sample09,/notebooks/data/Sample9/Sample9_S225_L001_R1_001.fastq.gz,forward
Sample09,/notebooks/data/Sample9/Sample9_S225_L001_R2_001.fastq.gz,reverse
Sample10,/notebooks/data/Sample10/Sample10_S226_L001_R1_001.fastq.gz,forward
Sample10,/notebooks/data/Sample10/Sample10_S226_L001_R2_001.fastq.gz,reverse